,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
386,duncati01,Duncan,Tim,2001,West,NBA,1,29,14.0,3.0,11.0,14.0,2.0,0.0,2.0,3.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0
387,duncati01,Duncan,Tim,2000,West,NBA,1,28,14.0,4.0,10.0,14.0,1.0,2.0,1.0,2.0,1.0,11.0,5.0,4.0,4.0,0.0,0.0
388,duncati01,Duncan,Tim,1999,West,NBA,1,33,24.0,7.0,7.0,14.0,4.0,1.0,1.0,2.0,3.0,14.0,12.0,0.0,0.0,0.0,0.0
389,duncati01,Duncan,Tim,1997,West,NBA,1,14,2.0,1.0,10.0,11.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
390,duncati01,Duncan,Tim,2009,West,NBA,1,13,3.0,1.0,3.0,4.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0
391,duncati01,Duncan,Tim,2008,West,NBA,1,18,6.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
392,duncati01,Duncan,Tim,2007,West,NBA,1,22,4.0,5.0,4.0,9.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0
393,duncati01,Duncan,Tim,2005,West,NBA,1,21,15.0,6.0,4.0,10.0,1.0,1.0,1.0,5.0,2.0,7.0,6.0,3.0,3.0,0.0,0.0
394,duncati01,Duncan,Tim,2004,West,NBA,1,17,15.0,2.0,7.0,9.0,2.0,0.0,0.0,2.0,0.0,10.0,7.0,1.0,0.0,1.0,1.0
395,duncati01,Duncan,Tim,2006,West,NBA,1,15,4.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
